SelfReportMinsSmartphone,SelfReportCheckSmartphone,SelfReportSocialMediaMins,SelfReportMessagingMins,SelfReportGamingMins,SelfReportEmailMins,SelfReportOtherAppsMins,SelfReportTotalAppMins,EmotionOwnSmartphoneUsage
660,300,240,360,180,15,15,810,1
180,50,30,60,0,30,120,240,3
180,50,30,60,60,15,30,195,2
60,20,30,15,0,15,0,60,2
315,60,120,0,30,0,0,150,2
120,140,60,60,0,0,0,120,2
300,100,150,45,45,15,45,300,3
180,50,60,0,0,30,90,180,3
270,30,120,60,0,30,0,210,2
300,50,180,120,0,15,0,315,1
390,9,150,45,120,30,45,390,1
210,50,165,30,0,15,0,210,2
360,70,270,30,0,0,0,300,2
180,50,60,120,15,30,0,225,2
630,50,300,420,0,60,0,780,1
240,150,180,60,0,30,0,270,1
300,30,180,0,0,0,120,300,1
120,200,15,0,0,45,60,120,3
270,50,135,135,0,0,0,270,2
180,50,60,0,0,30,90,180,2
600,60,60,240,0,60,240,600,1
360,250,15,30,0,15,300,360,3
150,35,0,120,60,0,75,255,3
750,10,0,120,45,15,45,225,1
180,40,120,0,0,0,60,180,2
360,50,120,60,120,15,0,315,2
300,30,180,0,0,0,0,180,1
210,50,90,60,0,15,45,210,2
120,50,30,15,0,0,45,90,3
30,5,45,0,0,0,0,45,3
240,80,120,120,0,0,0,240,1
255,30,225,60,0,0,0,285,1
180,20,0,15,30,15,180,240,3
300,17,120,60,60,30,30,300,2
120,30,30,60,0,60,60,210,3
945,100,0,0,180,600,660,0,2
180,100,120,60,0,15,0,195,1
240,100,90,45,0,0,0,135,2
180,50,30,30,0,0,45,105,3
195,20,60,60,0,30,30,180,2
270,50,180,60,0,15,15,270,1
150,50,60,120,0,15,0,195,3
180,100,120,60,45,0,0,225,1
240,80,0,240,0,0,0,240,2
300,50,60,60,180,0,0,300,1
300,20,195,60,60,0,225,540,1
240,100,60,60,0,0,120,240,2
240,30,120,0,0,0,180,300,2
240,100,45,120,0,30,60,255,2
360,50,135,30,60,15,120,360,1
360,50,15,15,0,15,45,90,2
420,30,120,120,0,0,120,360,1
120,20,120,0,60,60,0,240,3
300,40,120,60,0,45,0,225,2
210,100,30,75,60,45,0,210,3
465,27,420,90,0,0,0,510,1
240,100,60,0,0,0,180,240,2
165,5,30,0,0,15,150,195,3
180,20,60,60,0,60,0,180,3
705,50,180,180,345,30,0,735,1
360,100,180,180,30,30,0,420,1
180,50,90,60,60,15,60,285,1
480,500,45,0,0,45,45,135,2
240,10,300,300,240,60,0,900,1
720,30,360,60,0,60,180,660,1
465,100,240,120,0,30,45,435,1
180,30,60,60,0,15,0,135,2
120,15,30,90,15,15,0,150,2
315,50,150,60,90,15,0,315,1
300,75,180,60,0,15,0,255,3
360,50,180,60,0,30,0,270,1
240,500,120,120,45,60,120,465,1
285,60,120,180,60,15,30,405,2
180,50,30,30,0,15,165,240,2
420,50,240,30,105,15,30,420,1
420,200,300,60,30,15,15,420,2
180,25,30,30,0,60,60,180,2
465,6,450,0,0,135,0,585,3
225,20,60,15,0,0,150,225,3
165,50,90,30,0,15,30,165,3
210,50,90,30,0,15,0,135,2
150,50,30,15,0,30,60,135,3
300,15,150,120,0,30,0,300,3
480,50,180,60,60,15,60,375,1
285,30,180,120,60,15,30,405,2
300,100,120,0,0,0,45,165,1
600,100,300,60,0,60,60,480,1
240,50,120,15,0,30,0,165,1
300,70,90,45,0,0,60,195,3
240,8,60,60,120,0,240,480,2
180,20,120,30,0,15,15,180,3
720,25,300,300,0,0,0,600,2
180,25,120,30,0,30,0,180,3
120,20,30,15,45,15,0,105,2
480,50,60,30,0,0,360,450,1
360,100,180,0,120,15,0,315,1
150,70,60,60,0,15,0,135,2
330,30,240,60,60,15,15,390,1
405,70,180,60,0,15,150,405,1
180,70,120,30,0,0,30,180,2
300,20,180,60,15,15,30,300,1
300,100,240,0,30,0,30,300,2
540,12,255,0,120,0,0,375,1
330,10,60,60,180,30,0,330,2
300,50,120,120,120,60,60,480,3
60,25,30,0,0,15,15,60,3
300,50,300,30,0,0,15,345,1
300,30,180,0,60,0,60,300,2
150,50,60,30,60,0,0,150,3
420,45,150,90,0,0,180,420,1
240,70,120,15,0,15,90,240,2
525,150,60,60,0,30,345,495,1
480,30,180,240,0,0,60,480,2
480,150,120,240,60,0,60,480,3
120,30,60,60,60,0,0,180,3
180,30,90,90,0,60,120,360,3
240,100,120,0,0,0,120,240,1
180,50,60,60,0,0,60,180,2
120,50,30,30,15,15,15,105,2
300,80,300,0,0,30,0,330,2
210,70,60,60,0,30,60,210,2
435,68,210,30,120,75,0,435,2
180,40,90,15,30,0,0,135,2
270,20,120,15,15,0,15,165,3
300,60,180,30,0,30,60,300,2
420,100,120,90,0,30,180,420,1
180,20,60,60,0,0,60,180,2
330,100,210,90,0,30,0,330,1
210,75,30,60,0,0,90,180,3
360,100,60,60,0,60,60,240,1
240,25,0,0,0,30,210,240,2
630,260,180,120,60,30,210,600,1
240,50,60,30,0,120,180,390,2
150,70,60,60,0,30,0,150,2
